packages/client/components/ui/AppPagination.vue:76:17 lint/complexity/useIndexOf
packages/client/pages/automation/runs/index.vue:2:16 lint/style/noVueOptionsApi
packages/server/src/test-support/automation/integration-runtime-flags.ts:10:28 lint/complexity/useLiteralKeys
packages/server/src/test-support/automation/integration-runtime-flags.ts:3:18 lint/complexity/useLiteralKeys
packages/server/src/test-support/automation/integration-runtime-flags.ts:3:25 lint/complexity/useLiteralKeys
packages/server/src/test-support/automation/integration-runtime-flags.ts:4:25 lint/complexity/useLiteralKeys
packages/server/src/test-support/automation/integration-runtime-flags.ts:4:32 lint/complexity/useLiteralKeys
packages/server/src/test-support/automation/integration-runtime-flags.ts:9:14 lint/complexity/useLiteralKeys
packages/server/src/test-support/automation/integration-runtime-flags.ts:9:21 lint/complexity/useLiteralKeys
packages/server/src/test-support/automation/integration-runtime-flags.ts:10:21 lint/complexity/useLiteralKeys
packages/client/assets/css/main.css:659:3 lint/style/noDescendingSpecificity
packages/client/components/ai/AIDashboardPreferenceCard.vue:24:7 lint/style/useVueDefineMacrosOrder
packages/client/components/ai/FloatingChatPanel.vue:84:7 lint/style/useVueDefineMacrosOrder
packages/client/components/automation/AutomationJobApplyFormCard.vue:30:7 lint/style/useVueDefineMacrosOrder
packages/client/components/automation/AutomationJobApplyRunCard.vue:36:7 lint/style/useVueDefineMacrosOrder
packages/client/components/automation/AutomationRunsFilters.vue:9:7 lint/style/useVueDefineMacrosOrder
packages/client/components/cover-letter/CoverLetterDetailFormCard.vue:16:7 lint/style/useVueDefineMacrosOrder
packages/client/components/cover-letter/CoverLetterEditorCard.vue:21:7 lint/style/useVueDefineMacrosOrder
packages/client/components/interview/InterviewChat.vue:70:7 lint/style/useVueDefineMacrosOrder
packages/client/components/interview/InterviewChat.vue:94:33 lint/nursery/noVueRefAsOperand
packages/client/components/interview/InterviewChat.vue:96:16 lint/nursery/noVueRefAsOperand
packages/client/components/interview/InterviewChat.vue:99:53 lint/nursery/noVueRefAsOperand
packages/client/components/interview/InterviewChat.vue:102:35 lint/nursery/noVueRefAsOperand
packages/client/components/jobs/JobApplyDialog.vue:20:7 lint/style/useVueDefineMacrosOrder
packages/client/components/jobs/JobsPageFiltersCard.vue:43:7 lint/style/useVueDefineMacrosOrder
packages/client/components/resume/ResumeBuildQuestionsCard.vue:21:7 lint/style/useVueDefineMacrosOrder
packages/client/components/resume/ResumeBuildTargetCard.vue:23:7 lint/style/useVueDefineMacrosOrder
packages/client/components/resume/ResumeLibraryPanel.vue:33:7 lint/style/useVueDefineMacrosOrder
packages/client/components/resume/ResumeTabList.vue:14:7 lint/style/useVueDefineMacrosOrder
packages/client/components/resume/ResumeTabList.vue:34:10 lint/complexity/noExcessiveCognitiveComplexity
packages/client/components/settings/SettingsAIProvidersPanel.vue:59:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsAiProviderAccordionList.vue:41:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsAiRoutingCard.vue:39:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsAutomationPanel.vue:22:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsBrandPanel.vue:59:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsEmailDeliveryPanel.vue:30:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsJobIntelligencePanel.vue:26:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsJobIntelligencePanel.vue:43:25 lint/nursery/noVueRefAsOperand
packages/client/components/settings/SettingsJobIntelligenceProvidersWorkspace.vue:25:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsJobIntelligenceTaxonomyWorkspace.vue:25:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsPreferencesPanel.vue:28:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/SettingsProfilePanel.vue:31:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/brand/BrandContentTab.vue:27:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/brand/BrandIdentityTab.vue:26:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/brand/BrandThemesTab.vue:28:7 lint/style/useVueDefineMacrosOrder
packages/client/components/settings/brand/BrandTypographyTab.vue:25:7 lint/style/useVueDefineMacrosOrder
packages/client/components/studios/StudiosIndexFiltersCard.vue:25:7 lint/style/useVueDefineMacrosOrder
packages/client/components/studios/StudiosPreviewModal.vue:28:7 lint/style/useVueDefineMacrosOrder
packages/client/components/ui/AIProviderIcon.vue:48:7 lint/style/useVueDefineMacrosOrder
packages/client/composables/api-docs-page-data.ts:43:51 lint/nursery/noVueRefAsOperand
packages/client/composables/api-docs-page-data.ts:43:59 lint/nursery/noVueRefAsOperand
packages/client/composables/api-request.ts:126:3 lint/style/useDefaultParameterLast
packages/client/composables/automation-hub-page-presentation.ts:94:46 lint/nursery/noVueRefAsOperand
packages/client/composables/interview-realtime-socket.ts:64:32 lint/complexity/noExcessiveCognitiveComplexity
packages/client/composables/interview-realtime-socket.ts:47:8 lint/complexity/noExcessiveLinesPerFunction
packages/client/composables/interview-session-actions.ts:167:25 lint/complexity/noExcessiveCognitiveComplexity
packages/client/composables/jobs-index-page-derived.ts:72:60 lint/nursery/noVueRefAsOperand
packages/client/composables/settings-page/options.ts:22:11 lint/nursery/noVueRefAsOperand
packages/client/composables/settings-page/options.ts:23:16 lint/nursery/noVueRefAsOperand
packages/client/composables/settings-page/options.ts:24:22 lint/nursery/noVueRefAsOperand
packages/client/composables/settings-page/options.ts:25:32 lint/nursery/noVueRefAsOperand
packages/client/composables/usePagination.ts:33:60 lint/nursery/noVueRefAsOperand
packages/client/composables/useSTT.ts:83:8 lint/complexity/noExcessiveLinesPerFunction
packages/client/composables/useScoreColor.ts:9:33 lint/style/useNumberNamespace
packages/client/composables/useSkillMapping.ts:263:7 lint/nursery/noFloatingPromises
packages/client/composables/useSkillMapping.ts:272:7 lint/nursery/noFloatingPromises
packages/client/composables/useSkillMapping.ts:279:7 lint/nursery/noFloatingPromises
packages/client/constants/layout.ts:322:1 lint/performance/noBarrelFile
packages/client/error.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/layouts/default.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/ai/chat.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/ai/dashboard.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/ai/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/automation/email.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/automation/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/automation/index.vue:88:49 lint/nursery/noVueRefAsOperand
packages/client/pages/automation/scraper.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/cover-letter/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/docs/api.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/gamification.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/interview/history.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/interview/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/interview/session.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/jobs/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/portfolio/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/portfolio/preview.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/resume/build.vue:114:24 lint/suspicious/useIterableCallbackReturn
packages/client/pages/resume/build.vue:115:13 lint/suspicious/useIterableCallbackReturn
packages/client/pages/resume/build.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/resume/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/resume/preview.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/settings.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/setup.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/skills/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/skills/pathways.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/studios/analytics.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/pages/studios/index.vue:2:1 lint/style/useVueMultiWordComponentNames
packages/client/tests/bao-ssot-compliance.spec.ts:90:53 lint/complexity/noExcessiveLinesPerFunction
packages/scraper/src/job-apply/verify-run.ts:84:36 lint/complexity/noExcessiveLinesPerFunction
packages/server/src/routes/automation-integration-flows.ts:36:21 lint/style/useTemplate
packages/server/src/routes/automation-integration-flows.ts:74:21 lint/style/useTemplate
packages/server/src/routes/automation-integration-flows.ts:142:21 lint/style/useTemplate
packages/server/src/routes/automation-integration-helpers.ts:143:21 lint/style/useTemplate
packages/server/src/routes/automation-integration-helpers.ts:223:5 lint/style/useTemplate
packages/server/src/routes/automation-integration-helpers.ts:227:21 lint/style/useTemplate
packages/server/src/routes/automation-integration-helpers.ts:264:7 lint/style/useTemplate
packages/server/src/routes/automation-integration-helpers.ts:268:23 lint/style/useTemplate
packages/server/src/routes/automation-integration-helpers.ts:109:7 lint/style/useTemplate
packages/server/src/routes/automation-integration-helpers.ts:132:21 lint/style/useTemplate
packages/server/src/routes/automation.integration.test.ts:57:26 lint/style/useTemplate
packages/server/src/routes/automation.integration.test.ts:57:62 lint/style/useTemplate
packages/server/src/routes/openai-v1-route-support.ts:138:45 lint/complexity/noExcessiveLinesPerFunction
packages/server/src/routes/openai-v1.test.ts:83:30 lint/complexity/noExcessiveLinesPerFunction
packages/server/src/routes/openapi-tags.test.ts:91:79 lint/complexity/noExcessiveCognitiveComplexity
packages/server/src/routes/settings-route-update-support.ts:243:29 lint/complexity/noExcessiveCognitiveComplexity
packages/shared/src/utils/automation-browser-launch-failure.test.ts:12:51 lint/complexity/noExcessiveLinesPerFunction
packages/shared/src/utils/error-helpers.ts:22:17 lint/complexity/noExcessiveCognitiveComplexity
packages/shared/src/utils/playwright-browsers-path.test.ts:19:51 lint/complexity/noExcessiveLinesPerFunction
scripts/browser-greenhouse-jobs-proof.ts:39:14 lint/complexity/noExcessiveLinesPerFunction
scripts/browser-interaction-burndown.ts:140:17 lint/complexity/noExcessiveLinesPerFunction
scripts/browser-interaction-burndown.ts:301:39 lint/complexity/noExcessiveCognitiveComplexity
scripts/browser-interaction-burndown.ts:352:33 lint/complexity/noExcessiveCognitiveComplexity
